DiaSemChuva,Precipitação,RiscoFogoReal,ClassificacaoRiscoFogoReal,RiscoFogoCalculado,ClassificacaoRiscoFogoCalculado
0.67,0.81,0.88,Alto,0.89,Alto
0.67,0.81,0.88,Alto,0.89,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.70,0.77,0.92,Alto,0.88,Alto
0.11,0.77,0.88,Alto,0.45,Médio
0.32,0.81,0.94,Alto,0.89,Alto
0.36,0.77,0.88,Alto,0.74,Alto
0.93,0.77,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.91,0.77,0.95,Alto,0.89,Alto
0.11,0.77,0.88,Alto,0.45,Médio
0.11,0.85,0.88,Alto,0.75,Alto
0.26,0.77,0.88,Alto,0.89,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.79,0.99,0.88,Alto,0.90,Alto
0.11,0.77,0.88,Alto,0.45,Médio
0.36,0.77,0.88,Alto,0.74,Alto
0.06,0.90,0.88,Alto,0.45,Médio
0.11,0.77,0.88,Alto,0.89,Alto
0.11,0.96,0.88,Alto,0.88,Alto
0.55,0.90,0.88,Alto,0.89,Alto
0.55,0.90,0.88,Alto,0.89,Alto
0.95,0.77,1.00,Crítico,0.89,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.42,0.77,0.88,Alto,0.74,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.11,0.77,0.88,Alto,0.89,Alto
0.82,0.77,1.00,Crítico,0.89,Alto
0.26,0.77,1.00,Crítico,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.17,0.77,1.00,Crítico,0.89,Alto
0.55,0.77,1.00,Crítico,0.89,Alto
0.63,0.94,0.88,Alto,0.89,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.42,0.77,0.88,Alto,0.74,Alto
0.42,0.94,0.88,Alto,0.89,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.58,0.77,0.94,Alto,0.89,Alto
0.63,0.92,0.88,Alto,0.89,Alto
0.87,0.77,0.95,Alto,0.89,Alto
0.89,0.94,1.00,Crítico,0.90,Alto
0.42,0.77,1.00,Crítico,0.89,Alto
0.87,0.77,1.00,Crítico,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.04,0.77,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.89,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.04,0.77,0.88,Alto,0.89,Alto
0.04,0.77,0.92,Alto,0.45,Médio
0.11,0.90,0.88,Alto,0.88,Alto
0.42,0.98,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.74,0.92,0.88,Alto,0.89,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.89,Alto
0.58,0.77,0.88,Alto,0.89,Alto
0.63,0.94,0.88,Alto,0.89,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.93,0.77,0.88,Alto,0.89,Alto
0.95,0.77,1.00,Crítico,0.89,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.42,0.92,0.88,Alto,0.89,Alto
0.67,0.98,0.88,Alto,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.17,0.94,0.88,Alto,0.88,Alto
0.36,0.90,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.70,0.77,0.88,Alto,0.88,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.95,0.77,1.00,Crítico,0.89,Alto
0.98,0.77,1.00,Crítico,0.96,Crítico
0.99,0.77,1.00,Crítico,0.96,Crítico
0.32,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.87,0.77,0.88,Alto,0.89,Alto
0.98,0.77,1.00,Crítico,0.96,Crítico
0.99,0.77,1.00,Crítico,0.96,Crítico
0.99,0.77,0.88,Alto,0.89,Alto
1.00,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.63,0.81,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.87,0.77,0.88,Alto,0.89,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.99,0.77,0.88,Alto,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.79,0.87,0.88,Alto,0.89,Alto
0.26,0.85,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.76,0.81,0.88,Alto,0.89,Alto
0.84,0.95,0.88,Alto,0.90,Alto
0.93,0.77,0.88,Alto,0.89,Alto
0.95,0.77,0.88,Alto,0.89,Alto
0.26,0.77,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.95,0.77,0.88,Alto,0.89,Alto
0.17,0.81,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.89,Alto
0.51,0.81,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.58,0.77,0.88,Alto,0.89,Alto
0.11,0.77,0.88,Alto,0.45,Médio
0.17,0.85,0.88,Alto,0.89,Alto
0.26,0.77,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.58,0.77,0.88,Alto,0.89,Alto
0.70,0.81,0.88,Alto,0.89,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.11,0.77,0.88,Alto,0.45,Médio
0.63,0.77,0.88,Alto,0.89,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.26,0.77,0.88,Alto,0.89,Alto
0.42,0.81,0.88,Alto,0.89,Alto
0.63,0.98,0.88,Alto,0.89,Alto
0.70,0.77,0.88,Alto,0.88,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.42,0.77,0.88,Alto,0.89,Alto
0.55,0.99,0.88,Alto,0.89,Alto
0.11,0.77,0.88,Alto,0.45,Médio
0.26,0.77,0.88,Alto,0.89,Alto
0.36,0.77,0.88,Alto,0.89,Alto
0.42,0.99,0.88,Alto,0.89,Alto
0.47,0.85,0.88,Alto,0.89,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.87,0.77,0.88,Alto,0.89,Alto
0.91,0.98,0.88,Alto,0.91,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.93,0.77,0.88,Alto,0.89,Alto
0.32,0.81,0.88,Alto,0.89,Alto
0.70,0.77,0.88,Alto,0.88,Alto
0.11,0.77,0.88,Alto,0.89,Alto
0.58,0.77,0.88,Alto,0.89,Alto
0.70,0.77,0.88,Alto,0.88,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.89,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.97,0.77,0.88,Alto,0.89,Alto
0.99,0.77,0.88,Alto,0.89,Alto
0.99,0.77,0.88,Alto,0.89,Alto
0.26,0.77,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.36,0.77,0.88,Alto,0.55,Médio
0.55,0.77,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.74,0.77,0.88,Alto,0.88,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.93,0.77,0.88,Alto,0.89,Alto
0.97,0.81,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.84,0.87,0.88,Alto,0.89,Alto
0.97,0.77,0.88,Alto,0.89,Alto
0.98,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.84,0.81,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.36,0.77,0.88,Alto,0.55,Médio
0.42,0.77,0.88,Alto,0.55,Médio
0.79,0.77,0.88,Alto,0.89,Alto
0.89,0.77,0.88,Alto,0.89,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.99,0.77,1.00,Crítico,0.96,Crítico
0.26,0.97,1.00,Crítico,0.88,Alto
0.55,0.95,1.00,Crítico,0.89,Alto
0.58,0.77,1.00,Crítico,0.89,Alto
0.63,0.95,1.00,Crítico,0.89,Alto
0.70,0.77,1.00,Crítico,0.88,Alto
0.74,0.77,1.00,Crítico,0.88,Alto
0.26,0.77,1.00,Crítico,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.55,Médio
0.51,0.77,0.88,Alto,0.55,Médio
0.55,0.77,0.88,Alto,0.89,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.89,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.97,0.77,1.00,Crítico,0.96,Crítico
0.98,0.77,1.00,Crítico,0.96,Crítico
0.99,0.77,1.00,Crítico,0.96,Crítico
0.42,0.77,0.88,Alto,0.55,Médio
0.55,0.85,0.88,Alto,0.89,Alto
0.89,0.77,0.88,Alto,0.89,Alto
0.97,0.85,1.00,Crítico,0.96,Crítico
0.11,0.77,0.88,Alto,0.89,Alto
0.58,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.67,0.77,0.88,Alto,0.88,Alto
0.74,0.81,0.88,Alto,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.84,0.77,0.88,Alto,0.89,Alto
0.87,0.77,0.88,Alto,0.89,Alto
0.96,0.77,1.00,Crítico,0.96,Crítico
0.32,0.77,0.88,Alto,0.89,Alto
0.36,0.77,0.88,Alto,0.55,Médio
0.47,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.63,0.77,0.88,Alto,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.26,0.77,0.88,Alto,0.89,Alto
0.42,0.77,0.88,Alto,0.89,Alto
0.51,0.94,0.88,Alto,0.89,Alto
0.58,0.77,0.88,Alto,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.79,0.77,0.88,Alto,0.89,Alto
0.32,0.90,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.89,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.84,0.92,0.88,Alto,0.90,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.93,0.85,0.88,Alto,0.90,Alto
0.17,0.77,0.88,Alto,0.89,Alto
0.51,0.77,0.88,Alto,0.89,Alto
0.76,0.77,0.88,Alto,0.88,Alto
0.79,0.81,0.88,Alto,0.89,Alto
0.82,0.77,0.88,Alto,0.89,Alto
0.91,0.77,0.88,Alto,0.89,Alto
0.32,0.77,0.88,Alto,0.89,Alto
0.47,0.77,0.88,Alto,0.89,Alto
0.55,0.77,0.88,Alto,0.89,Alto
0.70,0.77,0.88,Alto,0.88,Alto
0.74,0.92,0.88,Alto,0.89,Alto
